X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-77.000011963,38.879117529,1,306139,ACTIVE,415 I STREET SE,399999.16,134586.32,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999956874,38.8791172590001,2,306140,ACTIVE,417 I STREET SE,400003.94,134586.29,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999772593,38.879101764,3,306143,ACTIVE,903 5TH STREET SE,400019.93,134584.57,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999845545,38.879114466,4,306142,ACTIVE,421 I STREET SE,400013.6,134585.98,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.9999013249999,38.8791157270001,5,306141,ACTIVE,419 I STREET SE,400008.76,134586.12,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999748045,38.879051227,6,306145,ACTIVE,907 5TH STREET SE,400022.06,134578.96,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999730066,38.879102485,7,306144,ACTIVE,905 5TH STREET SE,400023.62,134584.65,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999750696,38.879014382,8,306146,ACTIVE,909 5TH STREET SE,400021.83,134574.87,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.001584542,38.874707367,9,307282,ACTIVE,301 TINGEY STREET SE,399862.7,134096.76,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000024986,38.878960783,10,306130,ACTIVE,920 4TH STREET SE,399998.03,134568.92,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000017725,38.8788811490001,11,306132,ACTIVE,924 4TH STREET SE,399998.66,134560.08,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000170544,38.8789329470001,12,306129,ACTIVE,918 4TH STREET SE,399985.4,134565.83,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.0077993899999,38.874810444,13,38929,RETIRE,32 N STREET SE,399323.41,134108.23,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000020491,38.878840611,14,306133,ACTIVE,926 4TH STREET SE,399998.42,134555.58,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.001670019,38.878260278,15,42186,ACTIVE,301 K STREET SE,399855.29,134491.16,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.00183261,38.8773856510001,16,42189,RETIRE,301 L STREET SE,399841.18,134394.07,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.007987349,38.874815025,17,46117,ACTIVE,26 N STREET SE,399307.1,134108.74,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000012424,38.878755572,18,306135,ACTIVE,930 4TH STREET SE,399999.12,134546.14,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000015651,38.878797821,19,306134,ACTIVE,928 4TH STREET SE,399998.84,134550.83,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000339497,38.8787362030001,20,306098,ACTIVE,942 4TH STREET SE,399970.74,134543.99,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000357475,38.87862549,21,306101,ACTIVE,948 4TH STREET SE,399969.18,134531.7,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000359895,38.8786645860001,22,306100,ACTIVE,946 4TH STREET SE,399968.97,134536.04,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000351597,38.8785430630001,23,306102,ACTIVE,952 4TH STREET SE,399969.69,134522.55,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.0082869129999,38.874263781,24,307841,ACTIVE,25 N STREET SE,399281.1,134047.55,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000273921,38.8787511570001,25,306089,ACTIVE,938 4TH STREET SE,399976.43,134545.65,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000155792,38.8787534090001,26,306137,ACTIVE,934 4TH STREET SE,399986.68,134545.9,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-77.000341226,38.878770795,27,306097,ACTIVE,940 4TH STREET SE,399970.59,134547.83,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.9777387839999,38.883801932,28,54890,ACTIVE,1842 POTOMAC AVENUE SE,401931.66,135106.56,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9784881539999,38.8834965980001,29,55653,ACTIVE,1812 POTOMAC AVENUE SE,401866.65,135072.65,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.978492059,38.883925128,30,55670,ACTIVE,1813 D STREET SE,401866.3,135120.22,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9834177719999,38.883847829,31,27075,ACTIVE,408 15TH STREET SE,401438.93,135111.55,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982006476,38.8838005060001,32,27398,ACTIVE,404 16TH STREET SE,401561.38,135106.32,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982610735,38.8839105000001,33,61055,ACTIVE,1531 D STREET SE,401508.95,135118.52,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982679296,38.8830264270001,34,61153,ACTIVE,1528 E STREET SE,401503.02,135020.38,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982614758,38.883009391,35,61251,ACTIVE,1530 E STREET SE,401508.62,135018.49,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.98277221,38.883904848,36,61266,ACTIVE,1525 D STREET SE,401494.94,135117.89,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982877093,38.8839060350001,37,61540,ACTIVE,1521 D STREET SE,401485.84,135118.02,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982850535,38.881711227,38,62129,ACTIVE,1510 POTOMAC AVENUE SE,401488.19,134874.38,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9805321059999,38.8834436270001,39,25670,ACTIVE,420 17TH STREET SE,401689.31,135066.73,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
